TranscriptID	GeneID	ProteinID	Description
NM_001010975.1	Ant	NP_001010975.1	Apis_mellifera_ADP/ATP_translocase_(Ant),_mRNA
NM_001011562.1	Wat	NP_001011562.1	Apis_mellifera_worker-enriched_antennal_transcript_(Wat),_mRNA
NM_001011563.1	Jhe	NP_001011563.1	Apis_mellifera_juvenile_hormone_esterase_(Jhe),_mRNA
NM_001011564.2	Mrjp8	NP_001011564.1	Apis_mellifera_major_royal_jelly_protein_8_(Mrjp8),_mRNA
NM_001011565.1	Oa1	NP_001011565.1	Apis_mellifera_octopamine_receptor_(Oa1),_mRNA
NM_001011566.1	Kr-h1	NP_001011566.1	Apis_mellifera_kruppel_homolog_1_(Kr-h1),_mRNA
NM_001011567.1	DopR2	NP_001011567.1	Apis_mellifera_dopamine_receptor_2_(DopR2),_mRNA
NM_001011568.1	Amih	NP_001011568.1	Apis_mellifera_hyperpolarization-activated_ion_channel_(Amih),_mRNA
NM_001011570.1	Vha16	NP_001011570.1	Apis_mellifera_vacuolar_H+_ATP_synthase_16_kDa_proteolipid_subunit_(Vha16),_mRNA
NM_001011571.1	Antp	NP_001011571.1	Apis_mellifera_homeotic_protein_antennapedia_(Antp),_mRNA
NM_001011572.1	Tsf1	NP_001011572.1	Apis_mellifera_transferrin_1_(Tsf1),_mRNA
NM_001011573.1	Nmdar1	NP_001011573.1	Apis_mellifera_NMDA_receptor_1_(Nmdar1),_mRNA
NM_001011574.1	LOC406081	NP_001011574.1	Apis_mellifera_glucose_oxidase_(LOC406081),_mRNA
NM_001011575.1	nAChRa8	NP_001011575.1	Apis_mellifera_nicotinic_acetylcholine_receptor_alpha8_subunit_(nAChRa8),_mRNA
NM_001011576.1	Tk	NP_001011576.1	Apis_mellifera_tachykinin_(Tk),_mRNA
NM_001011577.1	Dl	NP_001011577.1	Apis_mellifera_dorsal_(Dl)
NM_001011578.1	Vg	NP_001011578.1	Apis_mellifera_vitellogenin_(Vg),_mRNA
NM_001011579.1	Mrjp1	NP_001011579.1	Apis_mellifera_major_royal_jelly_protein_1_(Mrjp1),_mRNA
NM_001011580.1	Mrjp2	NP_001011580.1	Apis_mellifera_major_royal_jelly_protein_2_(Mrjp2),_mRNA
NM_001011581.1	For	NP_001011581.1	Apis_mellifera_cGMP-dependent_protein_kinase_foraging_(For),_mRNA
NM_001011582.1	LOC406093	NP_001011582.1	Apis_mellifera_apisimin_(LOC406093),_mRNA
NM_001011583.2	CSP3	NP_001011583.1	Apis_mellifera_chemosensory_protein_3_(CSP3),_mRNA
NM_001011584.1	SP34	NP_001011584.1	Apis_mellifera_serine_protease_34_(SP34),_mRNA
NM_001011585.1	LOC406096	NP_001011585.1	Apis_mellifera_type_I_inositol_1,4,5-trisphosphate_5-phosphatase_(LOC406096),_mRNA
NM_001011586.1	IF-2mt	NP_001011586.1	Apis_mellifera_translation_initiation_factor_2_(IF-2mt),_mRNA
NM_001011587.1	RpL32	NP_001011587.1	Apis_mellifera_ribosomal_protein_L32_(RpL32),_mRNA
NM_001011588.1	Obp5	NP_001011588.1	Apis_mellifera_odorant_binding_protein_5_(Obp5),_mRNA
NM_001011589.1	Obp4	NP_001011589.1	Apis_mellifera_odorant_binding_protein_4_(Obp4),_mRNA
NM_001011590.1	Obp1	NP_001011590.1	Apis_mellifera_odorant_binding_protein_1_(Obp1),_mRNA
NM_001011591.1	Obp2	NP_001011591.1	Apis_mellifera_odorant_binding_protein_2_(Obp2),_mRNA
NM_001011592.1	Tspan6	NP_001011592.1	Apis_mellifera_tetraspanin_6_(Tspan6),_mRNA
NM_001011593.1	Obp6	NP_001011593.1	Apis_mellifera_odorant_binding_protein_6_(Obp6),_mRNA
NM_001011594.1	TyrR	NP_001011594.1	Apis_mellifera_tyramine_receptor_(TyrR),_mRNA
NM_001011595.1	Dop1	NP_001011595.1	Apis_mellifera_dopamine_receptor,_D1_(Dop1),_mRNA
NM_001011596.1	Per	NP_001011596.1	Apis_mellifera_period_circadian_protein_(Per),_mRNA
NM_001011597.1	Eaat-2	NP_001011597.1	Apis_mellifera_excitatory_amino_acid_transporter_2_(Eaat-2),_mRNA
NM_001011598.1	LOC406114	NP_001011598.1	Apis_mellifera_alpha-amylase_(LOC406114),_mRNA
NM_001011599.1	Mrjp5	NP_001011599.1	Apis_mellifera_major_royal_jelly_protein_5_(Mrjp5),_mRNA
NM_001011600.1	HEX70b	NP_001011600.1	Apis_mellifera_hexamerin_70b_(HEX70b),_mRNA
NM_001011601.1	Mrjp3	NP_001011601.1	Apis_mellifera_major_royal_jelly_protein_3_(Mrjp3),_mRNA
NM_001011602.1	Psq	NP_001011602.1	Apis_mellifera_pipsqueak_(Psq),_mRNA
NM_001011603.1	Argk	NP_001011603.1	Apis_mellifera_arginine_kinase_(Argk),_mRNA
NM_001011604.3	Rps8	NP_001011604.2	Apis_mellifera_ribosomal_protein_S8_(Rps8),_mRNA
NM_001011605.1	Uvop	NP_001011605.1	Apis_mellifera_ultraviolet-sensitive_opsin_(Uvop),_mRNA
NM_001011606.1	Blop	NP_001011606.1	Apis_mellifera_blue-sensitive_opsin_(Blop),_mRNA
NM_001011607.2	Melt	NP_001011607.1	Apis_mellifera_melittin_(Melt),_mRNA
NM_001011608.1	Hbg3	NP_001011608.1	Apis_mellifera_alpha-glucosidase_(Hbg3),_mRNA
NM_001011610.1	Mrjp4	NP_001011610.1	Apis_mellifera_major_royal_jelly_protein_4_(Mrjp4),_mRNA
NM_001011611.2	Mcdp	NP_001011611.2	Apis_mellifera_mast_cell-degranulating_peptide_(Mcdp),_mRNA
NM_001011612.1	Apamin	NP_001011612.1	Apis_mellifera_apamin_protein_(Apamin),_mRNA
NM_001011613.1	Apid1	NP_001011613.1	Apis_mellifera_apidaecin_1_(Apid1),_mRNA
NM_001011614.1	Pla2	NP_001011614.1	Apis_mellifera_phospholipase_A2_(Pla2),_mRNA
NM_001011615.1	LOC406142	NP_001011615.1	Apis_mellifera_hymenoptaecin_(LOC406142),_mRNA
NM_001011616.2	Def1	NP_001011616.2	Apis_mellifera_defensin_1_(Def1),_mRNA
NM_001011617.1	LOC406144	NP_001011617.1	Apis_mellifera_abaecin_(LOC406144),_mRNA
NM_001011618.1	LOC406145	NP_001011618.1	Apis_mellifera_secapin_(LOC406145),_mRNA
NM_001011619.1	LOC406146	NP_001011619.1	Apis_mellifera_hyaluronoglucosaminidase_(LOC406146),_mRNA
